[2021-04-27 16:08:26.659186]	Получены данные b'\xfd\xff_\n' 
[2021-04-27 16:08:26.660187]	Получено число: 174063613 
[2021-04-27 16:08:27.679208]	Получены данные b'\xfd\xff_\n' 
[2021-04-27 16:08:27.679208]	Получено число: 174063613 
[2021-04-27 16:08:28.695186]	Получены данные b'\xff\xff_\n' 
[2021-04-27 16:08:28.696245]	Получено число: 174063615 
[2021-04-27 16:08:29.799186]	Получены данные b'\xfb\xff_\n' 
[2021-04-27 16:08:29.800187]	Получено число: 174063611 
[2021-04-27 16:08:30.854192]	Получены данные b'\x01\x00`\n' 
[2021-04-27 16:08:30.855187]	Получено число: 174063617 
[2021-04-27 16:08:31.884187]	Получены данные b'\xf9\xff_\n' 
[2021-04-27 16:08:31.885187]	Получено число: 174063609 
[2021-04-27 16:08:32.899302]	Получены данные b'\x03\x00`\n' 
[2021-04-27 16:08:32.899302]	Получено число: 174063619 
[2021-04-27 16:08:33.911552]	Получены данные b'\xf7\xff_\n' 
[2021-04-27 16:08:33.911552]	Получено число: 174063607 
[2021-04-27 16:08:34.934567]	Получены данные b'\x05\x00`\n' 
[2021-04-27 16:08:34.935567]	Получено число: 174063621 
[2021-04-27 16:08:35.952660]	Получены данные b'\xf5\xff_\n' 
[2021-04-27 16:08:35.952660]	Получено число: 174063605 
[2021-04-27 16:08:36.971189]	Получены данные b'\x07\x00`\n' 
[2021-04-27 16:08:36.971189]	Получено число: 174063623 
[2021-04-27 16:08:38.001190]	Получены данные b'\xf3\xff_\n' 
[2021-04-27 16:08:38.002190]	Получено число: 174063603 
[2021-04-27 16:08:39.021188]	Получены данные b'\t\x00`\n' 
[2021-04-27 16:08:39.021188]	Получено число: 174063625 
[2021-04-27 16:08:40.047190]	Получены данные b'\xf1\xff_\n' 
[2021-04-27 16:08:40.048244]	Получено число: 174063601 
[2021-04-27 16:08:41.061190]	Получены данные b'\x0b\x00`\n' 
[2021-04-27 16:08:41.061190]	Получено число: 174063627 
[2021-04-27 16:08:42.084198]	Получены данные b'\xef\xff_\n' 
[2021-04-27 16:08:42.085193]	Получено число: 174063599 
[2021-04-27 16:08:43.101191]	Получены данные b'\xf7\xffO\n' 
[2021-04-27 16:08:43.102190]	Получено число: 173015031 
[2021-04-27 16:08:44.125190]	Получены данные b'\xf7\xffO\n' 
[2021-04-27 16:08:44.125190]	Получено число: 173015031 
[2021-04-27 16:08:45.147222]	Получены данные b'\xf9\xffO\n' 
[2021-04-27 16:08:45.147222]	Получено число: 173015033 
[2021-04-27 16:08:46.184213]	Получены данные b'\xf5\xffO\n' 
[2021-04-27 16:08:46.185190]	Получено число: 173015029 
[2021-04-27 16:08:47.196220]	Получены данные b'\xfb\xffO\n' 
[2021-04-27 16:08:47.197191]	Получено число: 173015035 
[2021-04-27 16:08:48.205705]	Получены данные b'\xf3\xffO\n' 
[2021-04-27 16:08:48.205705]	Получено число: 173015027 
[2021-04-27 16:08:49.260709]	Получены данные b'\xfd\xffO\n' 
[2021-04-27 16:08:49.261708]	Получено число: 173015037 
[2021-04-27 16:08:50.283428]	Получены данные b'\xf6\xffW\n' 
[2021-04-27 16:08:50.284515]	Получено число: 173539318 
[2021-04-27 16:08:51.317335]	Получены данные b'\xf6\xffW\n' 
[2021-04-27 16:08:51.318362]	Получено число: 173539318 
[2021-04-27 16:08:52.343860]	Получены данные b'\xf4\xffW\n' 
[2021-04-27 16:08:52.343860]	Получено число: 173539316 
[2021-04-27 16:08:53.367861]	Получены данные b'\xf8\xffW\n' 
[2021-04-27 16:08:53.368861]	Получено число: 173539320 
[2021-04-27 16:08:54.406861]	Получены данные b'\xf2\xffW\n' 
[2021-04-27 16:08:54.407861]	Получено число: 173539314 
[2021-04-27 16:08:55.425914]	Получены данные b'\xfa\xffW\n' 
[2021-04-27 16:08:55.425914]	Получено число: 173539322 
[2021-04-27 16:08:56.441860]	Получены данные b'\xf0\xffW\n' 
[2021-04-27 16:08:56.441860]	Получено число: 173539312 
[2021-04-27 16:08:57.460892]	Получены данные b'\xfc\xffW\n' 
[2021-04-27 16:08:57.461862]	Получено число: 173539324 
[2021-04-27 16:08:58.530892]	Получены данные b'\xee\xffW\n' 
[2021-04-27 16:08:58.530892]	Получено число: 173539310 
[2021-04-27 16:08:59.554899]	Получены данные b'\xf6\xffS\n' 
[2021-04-27 16:08:59.555895]	Получено число: 173277174 
[2021-04-27 16:09:00.571893]	Получены данные b'\xf6\xffS\n' 
[2021-04-27 16:09:00.571893]	Получено число: 173277174 
[2021-04-27 16:09:01.596892]	Получены данные b'\xf8\xffS\n' 
[2021-04-27 16:09:01.597892]	Получено число: 173277176 
[2021-04-27 16:09:02.623893]	Получены данные b'\xf3\xffU\n' 
[2021-04-27 16:09:02.623893]	Получено число: 173408243 
[2021-04-27 16:09:03.639940]	Получены данные b'\xf3\xffU\n' 
[2021-04-27 16:09:03.639940]	Получено число: 173408243 
[2021-04-27 16:09:04.663893]	Получены данные b'\xf1\xffU\n' 
